order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2022-11-27 23:14:15,1,1,723
2,2023-05-26 03:56:45,1,3,875
3,2021-08-30 01:43:38,2,4,479
4,2023-03-27 13:12:13,3,1,197
5,2020-10-10 11:13:02,4,2,363
6,2022-11-10 14:11:34,4,4,608
7,2021-08-16 16:36:15,5,2,787
8,2021-05-21 11:38:25,6,4,892
9,2021-12-18 15:37:29,7,3,938
10,2023-02-08 16:00:19,8,2,365
11,2021-08-10 11:22:29,9,4,953
12,2021-11-03 15:58:11,10,1,851
13,2021-10-08 00:56:51,11,3,352
14,2021-04-13 10:10:25,12,3,28
15,2021-09-10 08:40:00,12,1,890
16,2021-11-16 17:00:00,13,4,388
17,2021-09-07 20:53:41,13,2,439
18,2022-05-22 19:53:58,14,2,463
19,2022-06-27 13:55:54,14,1,921
20,2021-01-05 05:30:20,15,3,338
21,2022-02-08 19:07:02,15,2,444
22,2023-03-07 17:34:31,15,4,542
23,2021-09-24 09:46:22,15,4,913
24,2020-07-06 19:24:05,16,1,613
25,2022-06-03 08:33:57,16,3,623
26,2021-08-23 04:02:00,17,2,926
27,2022-09-03 15:26:22,18,1,90
28,2022-04-12 08:56:51,19,4,979
29,2020-06-26 22:56:43,20,2,534
30,2022-12-23 11:19:46,20,2,676
31,2020-06-17 00:38:55,21,2,568
32,2022-03-03 22:15:14,22,3,85
33,2023-05-16 00:52:53,23,1,456
34,2021-10-08 00:21:25,24,2,469
35,2022-07-06 14:44:40,24,2,519
36,2021-01-28 04:49:55,25,4,139
37,2023-01-29 23:00:08,25,4,400
38,2023-02-07 01:27:06,26,4,311
39,2020-06-25 04:27:30,27,2,902
40,2021-06-21 15:32:29,27,2,951
41,2021-11-18 07:03:33,28,3,97
42,2020-10-04 10:08:55,28,2,197
43,2022-09-25 01:11:19,28,1,293
44,2022-05-08 19:08:37,28,4,671
45,2021-05-02 08:55:27,28,1,952
46,2020-06-07 13:09:50,29,2,193
47,2021-06-22 17:41:31,29,2,505
48,2022-05-16 17:34:02,29,4,871
49,2021-01-26 22:26:44,30,1,185
50,2021-04-08 20:15:37,30,3,435
51,2021-09-20 06:49:52,31,1,748
52,2022-07-04 11:20:36,32,4,224
53,2021-05-27 01:56:23,33,3,514
54,2023-04-27 22:39:43,34,2,495
55,2021-10-01 21:01:04,35,4,550
56,2022-08-21 19:16:41,35,4,877
57,2020-08-19 01:00:58,36,4,282
58,2022-07-02 05:41:56,36,1,616
59,2022-01-29 19:01:56,37,1,452
60,2021-04-09 14:13:15,37,3,699
61,2021-09-08 18:47:59,38,1,177
62,2021-11-21 05:06:20,38,4,333
63,2021-12-16 15:42:18,39,1,474
64,2021-06-22 04:20:28,40,1,131
65,2020-08-10 05:01:57,40,1,588
66,2020-07-15 00:26:41,41,2,201
67,2020-12-18 03:03:11,41,1,637
68,2020-09-25 21:54:13,42,2,308
69,2021-07-21 20:35:10,42,2,550
70,2021-03-02 17:54:06,43,4,865
71,2021-06-14 02:45:12,44,4,787
72,2021-04-24 03:05:44,45,3,155
73,2022-02-09 01:55:45,45,1,819
74,2020-07-06 00:41:31,46,3,255
75,2021-12-26 11:40:48,46,2,899
76,2022-05-23 15:35:13,47,3,735
77,2022-10-29 14:55:40,48,1,85
78,2021-06-13 15:14:26,49,1,336
79,2021-05-07 03:07:11,49,1,949
80,2022-10-18 10:00:12,50,4,104
81,2021-04-10 09:53:06,50,4,975
82,2021-04-12 17:40:54,51,3,217
83,2023-02-09 22:53:02,51,3,232
84,2021-11-02 03:33:19,51,4,888
85,2023-03-01 21:29:36,52,3,649
86,2020-11-10 08:16:11,52,2,924
87,2022-02-06 03:35:04,52,4,932
88,2021-06-03 09:34:13,53,2,65
89,2021-05-11 21:28:25,54,2,150
90,2023-04-19 01:45:35,54,4,269
91,2021-08-31 00:04:05,55,1,794
92,2021-03-14 01:21:04,56,2,263
93,2021-01-18 16:57:13,56,3,837
94,2022-05-30 13:51:20,57,2,227
95,2022-08-13 06:34:04,57,4,600
96,2023-04-02 15:59:07,58,2,154
97,2021-07-04 20:30:29,58,1,493
98,2021-08-17 21:40:52,59,3,36
99,2021-08-16 03:15:53,59,4,271
100,2020-06-12 02:47:43,60,1,751
101,2022-02-07 15:37:22,60,4,876
102,2022-03-24 23:34:29,61,1,389
103,2021-08-28 11:12:36,61,2,838
104,2021-09-07 16:42:50,62,2,695
105,2021-05-11 16:34:06,63,4,359
106,2020-11-29 12:16:17,64,1,396
107,2021-05-09 03:56:11,65,3,317
108,2021-09-27 04:14:46,65,3,584
109,2022-02-12 13:08:39,66,2,208
110,2022-11-04 11:25:11,66,1,636
